# Источник: https://skf.mtuci.ru/uch_rab/time-table/ — Высшее, очная, 1 курс, ДБ2601, расписание на сентябрь 2026 (скан PDF)
# дата	пара	дисциплина	преподаватель	ассистент	аудитория	вид
01.09	2	Физическая культура и спорт	Денисов Е.А.		307	лек.
01.09	3	История России	Карпов Д.А.		307	лек.
01.09	4	Элективные курсы по ФК(ОФП)	Денисов Е.А.		сп/зал	ПЗ
02.09	1	Элективные курсы по ФК(ОФП)	Денисов Е.А.		сп/зал	ПЗ
02.09	2	Физика	Леонтьев И.Н.		402	лек.
02.09	3	Введение в профессию	Маршаков Д.В.		305	лек.
03.09	2	История России	Карпов Д.А.		402	лек.
03.09	3	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		402	лек.
03.09	4	История России	Карпов Д.А.		402	Семин.
04.09	2	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		308	ПЗ
04.09	3	История России	Карпов Д.А.		308	Семин.
04.09	4	Физическая культура и спорт	Денисов Е.А.		306	ПЗ
05.09	1	Иностранный язык 1 п/г	Светличная Н.О.		106	ПЗ
05.09	2	Высшая математика	Беркович В.Н.		402	лек.
05.09	3	Иностранный язык п/г 2	Светличная Н.О.		101	ПЗ
07.09	1	Введение в информационные технологии	Швидченко С.А.		402	лек.
07.09	2	Физическая культура и спорт	Денисов Е.А.		307	лек.
07.09	3	Высшая математика	Беркович В.Н.		220	ПЗ
07.09	4	Элективные курсы по ФК(ОФП)	Денисов Е.А.		сп/зал	ПЗ
08.09	1	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
08.09	2	Введение в профессию	Маршаков Д.В.		220	лек.
08.09	3	История России	Карпов Д.А.		308	Семин.
09.09	1	Введение в профессию	Маршаков Д.В.		218	ПЗ
09.09	2	Введение в информационные технологии	Швидченко С.А.		305	ПЗ
09.09	3	История России	Карпов Д.А.		308	Семин.
10.09	2	История России	Карпов Д.А.		402	лек.
10.09	3	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		308	ПЗ
10.09	4	Элективные курсы по ФК(ОФП)	Денисов Е.А.		сп/зал	ПЗ
11.09	1	Физика	Дымов-Иванов В.В.	Жуковский Д.А.	401	ЛР
11.09	2	Физика	Дымов-Иванов В.В.		401	ПЗ
11.09	3	Русский язык и культура речи	Светличная Н.О.		402	лек.
12.09	1	Элективные курсы по ФК(ОФП)	Денисов Е.А.		сп/зал	ПЗ
12.09	2	Элективные курсы по ФК(ОФП)	Денисов Е.А.		сп/зал	ПЗ
14.09	2	Высшая математика	Беркович В.Н.		220	лек.
14.09	3	Русский язык и культура речи	Светличная Н.О.		220	лек.
14.09	4	Элективные курсы по ФК(ОФП)	Денисов Е.А.		сп/зал	ПЗ
15.09	1	Элективные курсы по ФК(ОФП)	Денисов Е.А.		сп/зал	ПЗ
15.09	2	История России	Карпов Д.А.		306	Семин.
15.09	3	Иностранный язык п/г 2	Светличная Н.О.		302	ПЗ
16.09	1	Введение в информационные технологии	Швидченко С.А.		402	лек.
16.09	2	История России	Карпов Д.А.		402	лек.
16.09	3	Введение в профессию	Маршаков Д.В.		305	лек.
16.09	4	Иностранный язык 1 п/г	Светличная Н.О.		302	ПЗ
17.09	1	Физика	Леонтьев И.Н.		220	лек.
17.09	2	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		220	лек.
17.09	3	Высшая математика	Беркович В.Н.		308	ПЗ
18.09	1	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
18.09	2	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		308	ПЗ
18.09	3	История России	Карпов Д.А.		106	Семин.
21.09	1	Физическая культура и спорт	Денисов Е.А.		402	лек.
21.09	2	Введение в информационные технологии	Швидченко С.А.		402	лек.
21.09	3	Высшая математика	Беркович В.Н.		220	ПЗ
21.09	4	Элективные курсы по ФК(ОФП)	Денисов Е.А.		сп/зал	ПЗ
22.09	1	Введение в профессию	Маршаков Д.В.		305	лек.
22.09	2	История России	Карпов Д.А.		313	Семин.
22.09	3	Элективные курсы по ФК(ОФП)	Денисов Е.А.		сп/зал	ПЗ
23.09	1	Введение в профессию	Маршаков Д.В.		218	ПЗ
23.09	2	Введение в информационные технологии	Швидченко С.А.		218	ПЗ
23.09	3	Физика	Дымов-Иванов В.В.	Жуковский Д.А.	401	ЛР
24.09	2	История России	Карпов Д.А.		307	лек.
24.09	3	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		106	ПЗ
24.09	4	Элективные курсы по ФК(ОФП)	Денисов Е.А.		сп/зал	ПЗ
25.09	1	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
25.09	2	Физика	Дымов-Иванов В.В.		313	ПЗ
25.09	3	История России	Карпов Д.А.		302	Семин.
28.09	2	Высшая математика	Беркович В.Н.		220	лек.
28.09	3	Русский язык и культура речи	Светличная Н.О.		220	лек.
28.09	4	Элективные курсы по ФК(ОФП)	Денисов Е.А.		сп/зал	ПЗ
29.09	1	Элективные курсы по ФК(ОФП)	Денисов Е.А.		сп/зал	ПЗ
29.09	2	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		106	ПЗ
29.09	3	История России	Карпов Д.А.		106	Семин.
30.09	1	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
30.09	2	История России	Карпов Д.А.		402	лек.
30.09	3	Введение в профессию	Маршаков Д.В.		218	лек.
30.09	4	Иностранный язык 1 п/г	Светличная Н.О.		302	ПЗ
