# Источник: https://skf.mtuci.ru/uch_rab/time-table/ — Высшее, очная, 2 курс, ДЗ2502, расписание на сентябрь 2026 (скан PDF)
# дата	пара	дисциплина	преподаватель	ассистент	аудитория	вид
01.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
01.09	2	Информационная экология	Жуковский Д.А.		220	лек.
01.09	3	Электроника	Соколов С.В.		220	лек.
02.09	1	Электроника	Соколов С.В.		101	ЛР
02.09	2	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
02.09	3	Информационные технологии и программирование	Швидченко С.А.		402	лек.
03.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
03.09	2	Иностранный язык	Светличная Н.О.		302	ПЗ
03.09	3	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		220	лек.
04.09	2	Основы компьютерного анализа электрических цепей	Бородин А.В.		220	лек.
04.09	3	Основы компьютерного анализа электрических цепей	Бородин А.В.		312	ПЗ
04.09	4	Информационные технологии и программирование	Коноваленко А.В.		305	ПЗ
05.09	1	Информационная экология	Жуковский Д.А.		101	ЛР
05.09	2	Системное администрирование инфокоммуникационных систем	Шухардин А.Н.		220	лек.
07.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
07.09	2	Теория вероятностей и математическая статистика	Беркович В.Н.		220	лек.
07.09	3	Информационные технологии и программирование	Швидченко С.А.		218	ЛР
08.09	2	Иностранный язык	Светличная Н.О.		302	ПЗ
08.09	3	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		101	ПЗ
09.09	1	Информационная экология	Жуковский Д.А.		216	ЛР
09.09	2	Электроника	Соколов С.В.		220	лек.
09.09	3	Основы компьютерного анализа электрических цепей	Бородин А.В.		313	ЛР
10.09	1	Информационные технологии и программирование	Коноваленко А.В.		218	ПЗ
10.09	2	Основы компьютерного анализа электрических цепей	Бородин А.В.		313	ПЗ
10.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
11.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
11.09	2	Электроника	Соколов С.В.		310	ПЗ
11.09	3	Электроника	Соколов С.В.		310	ПЗ
14.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
14.09	2	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
15.09	1	Теория вероятностей и математическая статистика	Беркович В.Н.		220	ПЗ
15.09	2	Теория вероятностей и математическая статистика	Беркович В.Н.		402	лек.
15.09	3	Электроника	Соколов С.В.		220	лек.
16.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
16.09	2	Информационная экология	Жуковский Д.А.		307	лек.
16.09	3	Информационные технологии и программирование	Швидченко С.А.		402	лек.
17.09	1	Электроника	Соколов С.В.		310	ЛР
17.09	2	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		307	лек.
17.09	3	Основы компьютерного анализа электрических цепей	Бородин А.В.		402	лек.
18.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
18.09	2	Теория вероятностей и математическая статистика	Беркович В.Н.		220	ПЗ
18.09	3	Информационные технологии и программирование	Коноваленко А.В.		218	ПЗ
19.09	2	Иностранный язык	Светличная Н.О.		302	ПЗ
19.09	3	Системное администрирование инфокоммуникационных систем	Шухардин А.Н.		220	лек.
21.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
21.09	2	Теория вероятностей и математическая статистика	Беркович В.Н.		220	лек.
21.09	3	Информационные технологии и программирование	Швидченко С.А.		218	ЛР
22.09	1	Высшая математика	Докучаев С.А.		220	лек.
22.09	2	Иностранный язык	Светличная Н.О.		302	ПЗ
22.09	3	Основы экономической культуры и финансовая грамотность	Андреева Н.А.		101	ПЗ
22.09	4	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
23.09	1	Теория вероятностей и математическая статистика	Беркович В.Н.		220	лек.
23.09	2	Электроника	Соколов С.В.		220	лек.
23.09	3	Основы компьютерного анализа электрических цепей	Бородин А.В.		313	ЛР
24.09	2	Основы компьютерного анализа электрических цепей	Бородин А.В.		313	ПЗ
24.09	3	Информационная экология	Жуковский Д.А.		312	ЛР
24.09	4	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
25.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
25.09	2	Электроника	Соколов С.В.		310	ПЗ
25.09	3	Электроника	Соколов С.В.		310	ПЗ
28.09	1	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
28.09	2	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
29.09	1	Теория вероятностей и математическая статистика	Беркович В.Н.		216	ПЗ
29.09	2	Теория вероятностей и математическая статистика	Беркович В.Н.		402	лек.
29.09	3	Иностранный язык	Светличная Н.О.		302	ПЗ
30.09	1	Информационные технологии и программирование	Швидченко С.А.		305	ЛР
30.09	2	Информационная экология	Жуковский Д.А.		307	лек.
30.09	3	Информационные технологии и программирование	Швидченко С.А.		402	лек.
