# Источник: https://skf.mtuci.ru/uch_rab/time-table/ — Высшее, очная, 3 курс, ДИ2401, расписание на сентябрь 2026 (скан PDF)
# дата	пара	дисциплина	преподаватель	ассистент	аудитория	вид
01.09	4	Направляющие телекоммуникационные среды	Руденко Н.В.		312	лек.
01.09	5	Принципы функционирования сетей связи общего пользования	Решетникова И.В.		306	лек.
01.09	6	Принципы функционирования сетей связи общего пользования	Решетникова И.В.		313	ПЗ
02.09	4	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
02.09	5	Цифровая обработка сигналов	Бородин А.В.		402	лек.
03.09	4	Цифровая обработка сигналов	Бородин А.В.		313	ПЗ
03.09	5	Основы информационной безопасности	Жуковский А.Г.		220	лек.
03.09	6	Сетевые технологии	Решетникова И.В.		220	лек.
04.09	4	Инфокоммуникационные системы и сети	Юхнов В.И.		402	лек.
04.09	5	Общая теория связи	Юхнов В.И.		402	лек.
07.09	4	Сетевые технологии	Решетникова И.В.		313	ПЗ
07.09	5	Инфокоммуникационные системы и сети	Юхнов В.И.	Гуляева Т.В.	216	ЛР
07.09	6	Приемопередающие устройства	Борисов Б.П.		220	лек.
08.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
08.09	4	Приемопередающие устройства	Борисов Б.П.		312	ПЗ
08.09	5	Инфокоммуникационные системы и сети	Юхнов В.И.		216	ПЗ
09.09	4	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
09.09	5	Направляющие телекоммуникационные среды	Руденко Н.В.		312	ПЗ
10.09	4	Приемопередающие устройства	Борисов Б.П.		313	ПЗ
10.09	5	Сетевые технологии	Решетникова И.В.	Манин А.А.	313	ЛР
10.09	6	Принципы функционирования сетей связи общего пользования	Решетникова И.В.		313	ПЗ
11.09	4	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
11.09	5	Цифровая обработка сигналов	Бородин А.В.		313	ПЗ
11.09	6	Цифровая обработка сигналов	Бородин А.В.	Баранов В.И.	313	ЛР
14.09	4	Инфокоммуникационные системы и сети	Юхнов В.И.		220	лек.
14.09	5	Направляющие телекоммуникационные среды	Руденко Н.В.		312	лек.
14.09	6	Направляющие телекоммуникационные среды	Руденко Н.В.	Панков Г.К.	312	ЛР
15.09	4	Инфокоммуникационные системы и сети	Юхнов В.И.	Гуляева Т.В.	216	ЛР
15.09	5	Общая теория связи	Юхнов В.И.		220	лек.
15.09	6	Принципы функционирования сетей связи общего пользования	Решетникова И.В.		220	лек.
16.09	4	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
16.09	5	Цифровая обработка сигналов	Бородин А.В.		402	лек.
17.09	4	Цифровая обработка сигналов	Бородин А.В.		306	ПЗ
17.09	5	Сетевые технологии	Решетникова И.В.		220	лек.
17.09	6	Основы информационной безопасности	Жуковский А.Г.		220	лек.
19.09	2	Приемопередающие устройства	Борисов Б.П.		313	ПЗ
19.09	3	Приемопередающие устройства	Борисов Б.П.		313	ПЗ
21.09	4	Сетевые технологии	Решетникова И.В.		313	ПЗ
21.09	5	Инфокоммуникационные системы и сети	Юхнов В.И.	Гуляева Т.В.	216	ЛР
21.09	6	Приемопередающие устройства	Борисов Б.П.		220	лек.
22.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
22.09	4	Приемопередающие устройства	Борисов Б.П.		312	ПЗ
22.09	5	Инфокоммуникационные системы и сети	Юхнов В.И.		216	ПЗ
23.09	4	Цифровая обработка сигналов	Бородин А.В.		310	ПЗ
23.09	5	Направляющие телекоммуникационные среды	Руденко Н.В.		313	ПЗ
24.09	3	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
24.09	4	Принципы функционирования сетей связи общего пользования	Решетникова И.В.		312	ПЗ
24.09	5	Сетевые технологии	Решетникова И.В.		312	ПЗ
25.09	5	Цифровая обработка сигналов	Бородин А.В.		313	ПЗ
25.09	6	Цифровая обработка сигналов	Бородин А.В.	Баранов В.И.	313	ЛР
28.09	4	Инфокоммуникационные системы и сети	Юхнов В.И.		402	лек.
28.09	5	Направляющие телекоммуникационные среды	Руденко Н.В.		312	лек.
28.09	6	Направляющие телекоммуникационные среды	Руденко Н.В.	Панков Г.К.	312	ЛР
29.09	4	Сетевые технологии	Решетникова И.В.		216	ПЗ
29.09	5	Общая теория связи	Юхнов В.И.		220	лек.
29.09	6	Принципы функционирования сетей связи общего пользования	Решетникова И.В.		220	лек.
30.09	4	Элективные курсы по ФК(ОФП)	Ковалёв А.С.		сп/зал	ПЗ
30.09	5	Цифровая обработка сигналов	Бородин А.В.		402	лек.
30.09	6	Цифровая обработка сигналов	Бородин А.В.		312	ПЗ
