# Источник: https://skf.mtuci.ru/uch_rab/time-table/ — Высшее, очная, 1 курс, ДМО2602, расписание на сентябрь 2026 (скан PDF)
# дата	пара	дисциплина	преподаватель	ассистент	аудитория	вид
01.09	2	Физическая культура и спорт	Денисов Е.А.		307	лек.
01.09	3	История России	Карпов Д.А.		307	лек.
02.09	1	Элективные курсы по ФК(ОФП)	Карпов Д.А.		сп/зал	ПЗ
02.09	2	Физика	Леонтьев И.Н.		402	лек.
02.09	3	Иностранный язык 1 п/г	Светличная Н.О.		302	ПЗ
03.09	1	История России	Карпов Д.А.		106	Семин.
03.09	2	История России	Карпов Д.А.		402	лек.
03.09	3	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		402	лек.
04.09	1	История России	Карпов Д.А.		306	Семин.
04.09	2	Физика	Дымов-Иванов В.В.		401	ПЗ
04.09	3	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
05.09	1	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
05.09	2	Высшая математика	Беркович В.Н.		402	лек.
05.09	3	История России	Карпов Д.А.		106	Семин.
07.09	1	Введение в информационные технологии	Швидченко С.А.		402	лек.
07.09	2	Физическая культура и спорт	Денисов Е.А.		307	лек.
07.09	3	Основы кибернетики и вычислительной техники	Маршаков Д.В.		310	ПЗ
07.09	4	История России	Карпов Д.А.		106	Семин.
08.09	1	Основы кибернетики и вычислительной техники	Маршаков Д.В.		220	лек.
08.09	2	История России	Карпов Д.А.		106	Семин.
08.09	3	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
09.09	2	Основы кибернетики и вычислительной техники	Маршаков Д.В.	Чикалов А.Н.	310	ЛР
09.09	3	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		106	ПЗ
09.09	4	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
09.09	5	Физика	Дымов-Иванов В.В.	Жуковский Д.А.	401	ЛР
10.09	1	Элективные курсы по ФК(ОФП)	Карпов Д.А.		сп/зал	ПЗ
10.09	2	История России	Карпов Д.А.		402	лек.
10.09	3	Иностранный язык 2 п/г	Светличная Н.О.		101	ПЗ
11.09	1	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		106	ПЗ
11.09	2	История России	Карпов Д.А.		402	Семин.
11.09	3	Русский язык и культура речи	Светличная Н.О.		402	лек.
14.09	1	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
14.09	2	Высшая математика	Беркович В.Н.		220	лек.
14.09	3	Русский язык и культура речи	Светличная Н.О.		220	лек.
14.09	4	Элективные курсы по ФК(ОФП)	Карпов Д.А.		сп/зал	ПЗ
15.09	2	Основы кибернетики и вычислительной техники	Маршаков Д.В.		220	лек.
15.09	3	История России	Карпов Д.А.		308	Семин.
15.09	4	Иностранный язык 1 п/г	Светличная Н.О.		101	ПЗ
16.09	1	Введение в информационные технологии	Швидченко С.А.		402	лек.
16.09	2	История России	Карпов Д.А.		402	лек.
16.09	3	Иностранный язык 2 п/г	Светличная Н.О.		101	ПЗ
17.09	1	Физика	Леонтьев И.Н.		220	лек.
17.09	2	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		220	лек.
18.09	2	Физика	Дымов-Иванов В.В.	Жуковский Д.А.	401	ЛР
18.09	3	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		308	ПЗ
18.09	4	Элективные курсы по ФК(ОФП)	Карпов Д.А.		сп/зал	ПЗ
21.09	1	Физическая культура и спорт	Денисов Е.А.		402	лек.
21.09	2	Введение в информационные технологии	Швидченко С.А.		402	лек.
21.09	3	Основы кибернетики и вычислительной техники	Маршаков Д.В.		305	ПЗ
21.09	4	Элективные курсы по ФК(ОФП)	Карпов Д.А.		сп/зал	ПЗ
22.09	1	Линейная алгебра и аналитическая геометрия	Ефимов С.В.		106	ПЗ
22.09	2	Высшая математика	Докучаев С.А.		106	ПЗ
22.09	3	История России	Карпов Д.А.		106	Семин.
23.09	1	Физика	Дымов-Иванов В.В.	Жуковский Д.А.	401	ЛР
23.09	2	Основы кибернетики и вычислительной техники	Маршаков Д.В.	Чикалов А.Н.	310	ЛР
23.09	3	Высшая математика	Докучаев С.А.		106	ПЗ
24.09	1	История России	Карпов Д.А.		307	Семин.
24.09	2	История России	Карпов Д.А.		307	лек.
25.09	1	Высшая математика	Докучаев С.А.		308	ПЗ
25.09	2	История России	Карпов Д.А.		106	Семин.
25.09	3	Физическая культура и спорт	Денисов Е.А.		217	ПЗ
28.09	1	История России	Карпов Д.А.		106	Семин.
28.09	2	Высшая математика	Беркович В.Н.		220	лек.
28.09	3	Русский язык и культура речи	Светличная Н.О.		220	лек.
29.09	2	Основы кибернетики и вычислительной техники	Маршаков Д.В.		308	лек.
29.09	3	Основы кибернетики и вычислительной техники	Маршаков Д.В.		218	ПЗ
30.09	1	История России	Карпов Д.А.		402	Семин.
30.09	2	История России	Карпов Д.А.		402	лек.
30.09	3	Высшая математика	Докучаев С.А.		308	ПЗ
30.09	4	Элективные курсы по ФК(ОФП)	Карпов Д.А.		217	ПЗ
